subject_id,video_id,Week,Date,Time,date_inferred,Notes,License,Blackout Portions,Original_Drive_Path,Processed_Drive_Path
00400001,GX040048_2,08/07/2023-08/13/2023,08/08/2023,9:00 am,,,,,BabyView_Main/00400001/By_Date/08/07/2023-08/13/2023/GX040048_2.MP4,00400001_GX040048_2_08.07.2023-08.13.2023_08.08.2023-9:00am.MP4
00430001,GX010002,06/12/2023-06/18/2023,06/13/2023,NA,,,,,BabyView_Main/00430001/By_Date/06/12/2023-06/18/2023/GX010002.MP4,00430001_GX010002_06.12.2023-06.18.2023_06.13.2023-NA.MP4
00430001,GX020002,06/12/2023-06/18/2023,06/13/2023,NA,,,,,BabyView_Main/00430001/By_Date/06/12/2023-06/18/2023/GX020002.MP4,00430001_GX020002_06.12.2023-06.18.2023_06.13.2023-NA.MP4
00430001,GX010003,06/19/2023-06/25/2023,07/05/2023,NA,,,,,,
00430001,GX010004,07/03/2023-07/09/2023,07/05/2023,NA,,mistake?; only 7 seconds,,,BabyView_Main/00430001/By_Date/07/03/2023-07/09/2023/GX010004.MP4,00430001_GX010004_07.03.2023-07.09.2023_07.05.2023-NA.MP4
00430001,GX010005,07/10/2023-07/16/2023,07/10/2023,NA,,,,,BabyView_Main/00430001/By_Date/07/10/2023-07/16/2023/GX010005.MP4,00430001_GX010005_07.10.2023-07.16.2023_07.10.2023-NA.MP4
00430001,GX020005,07/10/2023-07/16/2023,07/10/2023,NA,,,,,BabyView_Main/00430001/By_Date/07/10/2023-07/16/2023/GX020005.MP4,00430001_GX020005_07.10.2023-07.16.2023_07.10.2023-NA.MP4
00430001,GX010006,07/10/2023-07/16/2023,07/12/2023,NA,,,,,BabyView_Main/00430001/By_Date/07/10/2023-07/16/2023/GX010006.MP4,00430001_GX010006_07.10.2023-07.16.2023_07.12.2023-NA.MP4
00430001,GX010007,07/10/2023-07/16/2023,07/12/2023,NA,,5 seconds; mistake?,,,BabyView_Main/00430001/By_Date/07/10/2023-07/16/2023/GX010007.MP4,00430001_GX010007_07.10.2023-07.16.2023_07.12.2023-NA.MP4
00430001,GX010008,07/10/2023-07/16/2023,07/13/2023,NA,,,,,BabyView_Main/00430001/By_Date/07/10/2023-07/16/2023/GX010008.MP4,00430001_GX010008_07.10.2023-07.16.2023_07.13.2023-NA.MP4
