File_Path,Highligh_Exist?,Highlight_Info
/BabyView_Main/00560001/00560001_GX010111_11.27.2023-12.03.2023_11.30.2023-NA.zip,No,NA
/BabyView_Main/00560001/00560001_GX020111_11.27.2023-12.03.2023_11.30.2023-NA.zip,No,NA
/BabyView_Main/00560001/00560001_GX030111_12.04.2023-12.10.2023_12.03.2023-NA.zip,No,NA
/BabyView_Main/00560001/00560001_GX010112_12.04.2023-12.10.2023_12.08.2023-NA.zip,No,NA
/BabyView_Main/00560001/00560001_GX020112_12.04.2023-12.10.2023_12.08.2023-NA.zip,No,NA
/BabyView_Main/00560001/00560001_GX030115_12.11.2023-12.17.2023_12.17.2023-NA.zip,No,NA
/BabyView_Main/00560001/00560001_GX030112_12.11.2023-12.17.2023_12.11.2023-NA.zip,No,NA
/BabyView_Main/00560001/00560001_GX010113_12.11.2023-12.17.2023_12.11.2023-NA.zip,No,NA
/BabyView_Main/00560001/00560001_GX010114_12.11.2023-12.17.2023_12.11.2023-NA.zip,No,NA
/BabyView_Main/00560001/00560001_GX020114_12.11.2023-12.17.2023_12.11.2023-NA.zip,No,NA
/BabyView_Main/00560001/00560001_GX030114_12.11.2023-12.17.2023_12.11.2023-NA.zip,No,NA
/BabyView_Main/00560001/00560001_GX010115_12.11.2023-12.17.2023_12.17.2023-NA.zip,No,NA
/BabyView_Main/00560001/00560001_GX020115_12.11.2023-12.17.2023_12.17.2023-NA.zip,No,NA
/BabyView_Main/00560001/00560001_GX010117_12.18.2023-12.24.2023_12.24.2023-NA.zip,No,NA
/BabyView_Main/00560001/00560001_GX010116_12.18.2023-12.24.2023_12.24.2023-NA.zip,No,NA
/BabyView_Main/00560001/00560001_GX010130_01.01.2024-01.07.2024_01.04.2024-NA.zip,No,NA
/BabyView_Main/00560001/00560001_GX020130_01.01.2024-01.07.2024_01.04.2024-NA.zip,No,NA
/BabyView_Main/00560001/00560001_GX010131_01.01.2024-01.07.2024_01.07.2024-NA.zip,No,NA
/BabyView_Main/00560001/00560001_GX020131_01.01.2024-01.07.2024_01.07.2024-NA.zip,No,NA
/BabyView_Main/00560001/00560001_GX030131_01.01.2024-01.07.2024_2024-01-18-06:39:25.zip,No,NA
/BabyView_Main/00560001/00560001_GX010132_01.01.2024-01.07.2024_2024-01-18-06:44:12.zip,No,NA
/BabyView_Main/00560001/00560001_GX020132_01.01.2024-01.07.2024_2024-01-18-06:48:58.zip,No,NA
/BabyView_Main/00560001/00560001_GX030132_01.15.2024-01.21.2024_01.19.2024-NA.zip,No,NA
/BabyView_Main/00560001/00560001_GX010133_01.15.2024-01.21.2024_01.19.2024-NA.zip,No,NA
/BabyView_Main/00560001/00560001_GX020133_01.15.2024-01.21.2024_01.19.2024-NA.zip,No,NA
/BabyView_Main/00560001/00560001_GX030133_01.22.2024-01.28.2024_01.19.2024-NA.zip,No,NA
/BabyView_Main/00560001/00560001_GX010134_01.22.2024-01.28.2024_01.27.2024-NA.zip,No,NA
/BabyView_Main/00560001/00560001_GX020134_01.22.2024-01.28.2024_01.27.2024-NA.zip,No,NA
/BabyView_Main/00560001/00560001_GX010142_01.29.2024-02.04.2024_02.03.2024-NA.zip,No,NA
/BabyView_Main/00560001/00560001_GX020142_01.29.2024-02.04.2024_02.03.2024-NA.zip,No,NA
/BabyView_Main/00560001/00560001_GX010143_02.12.2024-02.18.2024_02.18.2024-NA.zip,No,NA
/BabyView_Main/00560001/00560001_GX020143_02.12.2024-02.18.2024_02.18.2024-NA.zip,No,NA
/BabyView_Main/00560001/00560001_GX030143_02.26.2024-03.03.2024_03.02.2024-NA.zip,No,NA
/BabyView_Main/00560001/00560001_GX010144_02.26.2024-03.03.2024_03.02.2024-NA.zip,No,NA
/BabyView_Main/00560001/00560001_GX020144_02.26.2024-03.03.2024_03.02.2024-NA.zip,No,NA
/BabyView_Main/00560001/00560001_GX030144_02.26.2024-03.03.2024_03.02.2024-NA.zip,No,NA
/BabyView_Main/00560001/00560001_GX010148_03.25.2024-03.31.2024_03.31.2024-NA.zip,No,NA
/BabyView_Main/00560001/00560001_GX020148_03.25.2024-03.31.2024_03.31.2024-NA.zip,No,NA
/BabyView_Main/00560001/00560001_GX030148_03.25.2024-03.31.2024_03.31.2024-NA.zip,No,NA
/BabyView_Main/00720001/00720001_GX010021_01.22.2024-01.28.2024_01.22.2024-NA.zip,No,NA
